"","TYPE","YEAR","MONTH","Freq"
"1431","Break and Enter Commercial","2013","9",117
"1442","Break and Enter Commercial","2014","9",213
"1453","Break and Enter Commercial","2015","9",189
"1464","Break and Enter Commercial","2016","9",219
"1475","Break and Enter Commercial","2017","9",0
"1486","Break and Enter Commercial","2003","10",306
"1497","Break and Enter Commercial","2004","10",318
"1508","Break and Enter Commercial","2005","10",249
"1519","Break and Enter Commercial","2006","10",233
"1530","Break and Enter Commercial","2007","10",172
"1541","Break and Enter Commercial","2008","10",179
"1552","Break and Enter Commercial","2009","10",167
"1563","Break and Enter Commercial","2010","10",150
"1574","Break and Enter Commercial","2011","10",122
"1585","Break and Enter Commercial","2012","10",145
"1596","Break and Enter Commercial","2013","10",137
"1607","Break and Enter Commercial","2014","10",200
"1618","Break and Enter Commercial","2015","10",234
"1629","Break and Enter Commercial","2016","10",199
"1640","Break and Enter Commercial","2017","10",0
"1651","Break and Enter Commercial","2003","11",263
"1662","Break and Enter Commercial","2004","11",271
"1673","Break and Enter Commercial","2005","11",276
"1684","Break and Enter Commercial","2006","11",206
"1695","Break and Enter Commercial","2007","11",178
"1706","Break and Enter Commercial","2008","11",139
"1717","Break and Enter Commercial","2009","11",155
"1728","Break and Enter Commercial","2010","11",110
"1739","Break and Enter Commercial","2011","11",92
"1750","Break and Enter Commercial","2012","11",172
"1761","Break and Enter Commercial","2013","11",152
"1772","Break and Enter Commercial","2014","11",205
"1783","Break and Enter Commercial","2015","11",206
"1794","Break and Enter Commercial","2016","11",230
"1805","Break and Enter Commercial","2017","11",0
"1816","Break and Enter Commercial","2003","12",214
"1827","Break and Enter Commercial","2004","12",265
"1838","Break and Enter Commercial","2005","12",235
"1849","Break and Enter Commercial","2006","12",280
"1860","Break and Enter Commercial","2007","12",151
"1871","Break and Enter Commercial","2008","12",167
"1882","Break and Enter Commercial","2009","12",128
"1893","Break and Enter Commercial","2010","12",142
"1904","Break and Enter Commercial","2011","12",124
"1915","Break and Enter Commercial","2012","12",166
"1926","Break and Enter Commercial","2013","12",180
"1937","Break and Enter Commercial","2014","12",202
"1948","Break and Enter Commercial","2015","12",227
"1959","Break and Enter Commercial","2016","12",208
"1970","Break and Enter Commercial","2017","12",0
